edad;genero;nivelEducativo;estadoCivil;autoestima_1;autoestima_2;autoestima_3;culpa_1;culpa_2;culpa_3;aislamiento_1;aislamiento_2;aislamiento_3;nivelMaltrato
0,388888889;0;0,8;0;0,5;0;1;1;1;1;0;1;1;0,5
0,322222222;1;1;0,5;0;0,5;1;1;0,5;0;0,5;0,5;1;0,5
0,266666667;0;1;0,25;1;0,5;1;0;0;0,5;0;0,5;0,5;0
0,122222222;0;0;0;0;0,5;0,5;0;0;0;0;0;0,5;1
0,488888889;1;0,2;0;0;0,5;0;1;0,5;0,5;0;1;0,5;0
0,833333333;0;0,6;0,25;0,5;1;1;0,5;0;0,5;1;0;1;0,5
0,688888889;0;1;0;0;1;0,5;0;0;0;1;1;1;1
0;0;0;0;1;1;0;1;0;0,5;0;0,5;0;0,5
0,633333333;1;0,8;0;0,5;0,5;1;0;1;0;0;0;0;0,5
0,433333333;0;0;0,5;1;1;1;0,5;0;0;0;1;0;0,5
0,111111111;0;0;0;1;0;0,5;1;1;0,5;1;0,5;0,5;0
0,866666667;1;0,8;1;1;0,5;0,5;1;1;1;1;0,5;0;1
0,044444444;1;0;0;1;0;0,5;1;0,5;0;0,5;0,5;0,5;0
0,244444444;0;0,2;0,25;1;0;1;0,5;0,5;0,5;1;0;1;1
0,855555556;0;0,2;0,75;0;0;1;1;0,5;0;0,5;0,5;0;0,5
0,344444444;0;0,2;0,25;0,5;0,5;0,5;0,5;1;1;0;0,5;0;0,5
0,555555556;1;0,2;0,5;0,5;0,5;0;1;1;0,5;0;0;0,5;0
0,255555556;0;0,4;0,25;1;0,5;0,5;1;1;1;0;0,5;1;0,5
0,511111111;1;0,6;0,5;0,5;0;1;0;1;0;1;0,5;1;1
0,444444444;0;0,4;0,5;0;1;1;0,5;1;1;1;1;0;0,5
0,5;0;0,6;0,5;0,5;0;0,5;0,5;0;0;1;0,5;0;0,5
0,022222222;0;0;0;1;0;0,5;0;0;1;1;0,5;0;1
0,644444444;0;0,4;1;1;1;0;0;0,5;0;1;0,5;0;0,5
0,111111111;1;0;0;0,5;0;0;0;0,5;0,5;1;0;0;1
0,655555556;0;0,8;1;0,5;0;1;0,5;0,5;1;1;0;1;1
0,711111111;0;0,8;0,75;0;0;0;0,5;0,5;0,5;0,5;0;0;0,5
0,922222222;0;0,2;0,5;1;1;0;0,5;0,5;0,5;1;1;0,5;0
0,733333333;1;1;1;0,5;0,5;0,5;1;0,5;0,5;0;0,5;1;1
0,944444444;0;0,2;0;1;0;0,5;0,5;0;0,5;0,5;0;1;0,5
0,566666667;1;0;0;1;0,5;1;0,5;0;1;0;0;0,5;0
0,611111111;1;0,2;0;0,5;1;0;0,5;1;0,5;0,5;0,5;0,5;1
0,977777778;0;0;0,25;0,5;1;1;1;1;1;1;1;0;0
0,955555556;0;0,8;1;0;0,5;1;0;1;0;0,5;0;0;0
0,755555556;1;0,2;1;1;0;0;0;0,5;0;0;0;0;0,5
